movieId,title,genres,year,title_clean,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,n_genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,Toy Story,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
2,Jumanji (1995),Adventure|Children|Fantasy,1995,Jumanji,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
3,Grumpier Old Men (1995),Comedy|Romance,1995,Grumpier Old Men,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,Waiting To Exhale,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
5,Father of the Bride Part II (1995),Comedy,1995,Father Of The Bride Part II,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Heat (1995),Action|Crime|Thriller,1995,Heat,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
7,Sabrina (1995),Comedy|Romance,1995,Sabrina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
8,Tom and Huck (1995),Adventure|Children,1995,Tom And Huck,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,Sudden Death (1995),Action,1995,Sudden Death,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,GoldenEye (1995),Action|Adventure|Thriller,1995,Goldeneye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
11,"American President, The (1995)",Comedy|Drama|Romance,1995,"American President, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Dracula: Dead And Loving It,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
13,Balto (1995),Adventure|Animation|Children,1995,Balto,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14,Nixon (1995),Drama,1995,Nixon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,Cutthroat Island,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
16,Casino (1995),Crime|Drama,1995,Casino,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense And Sensibility,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
18,Four Rooms (1995),Comedy,1995,Four Rooms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,Ace Ventura: When Nature Calls,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,Money Train,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,Get Shorty,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
